Place,latitude,longitude,name,desc
Aitutaki,-18.8579523,-159.7852843,Aitutaki,Aitutaki Cook Islands
Aitutaki Atoll,-18.8579523,-159.7852843,Aitutaki Atoll,Aitutaki Cook Islands
Amahona Island,-17.533333,-149.833333,Mo'orea Island (Aimeho),Mo'orea Island (Aimeho)
Amoukhta Island,52.4881626,-171.2744513,Amoukhta Island,Amukta Island Alaska USA
Amsterdam Island,-37.8331705,77.5504779,Amsterdam Island,Île Amsterdam
Amukta Pass,52.4881626,-171.2744513,Amukta Pass,Amukta Island Alaska USA
Anadyr Sea,66,-179.25,Anadyr Sea Bay Berring Sea,Anadyr Sea Bay Berring Sea
Anutu(?) Bay,-15.2899056,-146.786149,Arutua,Arutua French Polynesia
Arctic Ocean,65.2481624,-60.4620976,Arctic Ocean,Arctic Ocean
Arutua,-15.2899056,-146.786149,Arutua,Arutua French Polynesia
Ascension,30.2017295,-90.9438468,Ascension,Ascension Parish LA USA
Ascension Island,-7.9467166,-14.3559158,Ascension Island,Ascension Island ASCN 1ZZ Saint Helena Ascension and Tristan da Cunha
Asia Islands,22.2627924,113.9655419,Asia Islands,Islands District Hong Kong
Auckland,-36.8484597,174.7633315,Auckland,Auckland New Zealand
Barren Island,12.2792303,93.8604402,Barren Island,Barren Island Andaman and Nicobar Islands
Bay of Islands,-35.1843701,174.1646163,Bay of Islands,Bay of Islands New Zealand
Bay of Transfiguration,54.79115,167.577575,Medny Island,Medny Island
Bay of Wonghui,21.015278,110.386111,Bay of Donghai,Bay of Donghai
Bayley Island (Australia),-34.9173448,150.7288238,Bayley Island (Australia),Bailey Ave Greenwell Point NSW 2540 Australia
Benhings(?) Isle,64.266667,-173.066667,Beringovsky,Beringovsky Russia
Bering Island,55.0078111,166.2776921,Bering Island,Bering Island Kamchatka Krai Russia 684500
Bering Strait,65.8938131,-168.3953957,Bering Strait,Bering Strait
Bering’s Island,55.0078111,166.2776921,Bering’s Island,Bering Island Kamchatka Krai Russia 684500
Bermuda,32.3078,-64.7505,Bermuda,Bermuda
Bird Island,-3.7206202,55.2052085,Bird Island,Bird Island
